S.NO,SECTION,DV,m2,PP,BEEE,FL,FIMS,TOTAL,Total,Percentage,Grade
374.0,GAMMA,17.0,17.0,15.0,20.0,19.0,13.0,1421.3333333333333,101.0,84.16666666666667,B
375.0,GAMMA,7.0,0.0,3.0,0.0,13.0,8.0,812.0,0.0,0.0,F
376.0,GAMMA,16.0,12.0,16.0,19.0,18.0,15.0,1392.0,96.0,80.0,B
377.0,GAMMA,11.0,3.0,6.0,10.0,15.0,8.0,1107.3333333333333,53.0,44.16666666666666,F
378.0,GAMMA,15.0,3.0,6.0,12.0,13.0,10.0,1149.3333333333333,59.0,49.16666666666666,F
379.0,GAMMA,14.0,9.0,8.0,18.0,13.0,15.0,1271.3333333333333,77.0,64.16666666666667,D
380.0,GAMMA,13.0,10.0,9.0,14.0,20.0,16.0,1306.6666666666667,82.0,68.33333333333333,D
381.0,GAMMA,15.0,7.0,14.0,20.0,18.0,11.0,1328.6666666666667,85.0,70.83333333333334,C
382.0,GAMMA,19.0,19.0,10.0,18.0,18.0,11.0,1397.3333333333333,95.0,79.16666666666666,C
383.0,GAMMA,15.0,14.0,12.0,14.0,15.0,15.0,1332.6666666666667,85.0,70.83333333333334,C
384.0,GAMMA,17.0,11.0,6.0,11.0,15.0,10.0,1234.6666666666667,70.0,58.333333333333336,F
385.0,GAMMA,18.0,10.0,9.0,16.0,15.0,13.0,1310.0,81.0,67.5,D
386.0,GAMMA,13.0,6.0,9.0,11.0,18.0,14.0,1245.3333333333333,71.0,59.16666666666666,F
387.0,GAMMA,12.0,9.0,10.0,18.0,20.0,16.0,1340.6666666666667,85.0,70.83333333333334,C
388.0,GAMMA,19.0,8.0,13.0,19.0,18.0,16.0,1396.0,93.0,77.5,C
389.0,GAMMA,20.0,4.0,16.0,18.0,19.0,14.0,1384.6666666666667,91.0,75.83333333333333,C
390.0,GAMMA,20.0,15.0,14.0,16.0,20.0,12.0,1426.6666666666667,97.0,80.83333333333333,B
391.0,GAMMA,14.0,1.0,6.0,8.0,10.0,9.0,1102.0,48.0,40.0,F
392.0,GAMMA,19.0,16.0,16.0,17.0,15.0,16.0,1444.0,99.0,82.5,B
393.0,GAMMA,16.0,4.0,13.0,17.0,15.0,16.0,1326.0,81.0,67.5,D
394.0,GAMMA,12.0,3.0,2.0,7.0,13.0,9.0,1094.6666666666667,46.0,38.333333333333336,F
395.0,GAMMA,20.0,8.0,0.0,0.0,13.0,13.0,1150.0,54.0,45.0,F
396.0,GAMMA,0.0,0.0,6.0,7.0,13.0,0.0,844.0,0.0,0.0,F
397.0,GAMMA,19.0,8.0,17.0,18.0,13.0,14.0,1387.3333333333333,89.0,74.16666666666667,C
398.0,GAMMA,11.0,4.0,7.0,12.0,13.0,15.0,1209.3333333333333,62.0,51.66666666666667,F
399.0,GAMMA,5.0,3.0,3.0,2.0,10.0,9.0,1011.3333333333331,32.0,26.666666666666668,F
400.0,GAMMA,20.0,18.0,0.0,19.0,18.0,17.0,984.0,0.0,0.0,F
401.0,GAMMA,11.0,1.0,7.0,19.0,15.0,11.0,1228.6666666666667,64.0,53.333333333333336,F
402.0,GAMMA,20.0,20.0,19.0,20.0,18.0,16.0,1557.3333333333337,113.0,94.16666666666669,A
403.0,GAMMA,0.0,0.0,0.0,0.0,0.0,0.0,806.0,0.0,0.0,F
404.0,GAMMA,18.0,17.0,17.0,16.0,18.0,15.0,1481.3333333333333,101.0,84.16666666666667,B
405.0,GAMMA,20.0,17.0,16.0,20.0,20.0,14.0,1523.3333333333333,107.0,89.16666666666667,B
406.0,GAMMA,18.0,18.0,17.0,19.0,15.0,15.0,1492.0,102.0,85.0,B
407.0,GAMMA,7.0,2.0,2.0,6.0,10.0,7.0,1040.6666666666667,34.0,28.33333333333333,F
408.0,GAMMA,11.0,5.0,9.0,13.0,13.0,15.0,1256.0,66.0,55.00000000000001,F
409.0,GAMMA,13.0,8.0,11.0,17.0,13.0,16.0,1338.0,78.0,65.0,D
410.0,GAMMA,14.0,18.0,13.0,17.0,18.0,15.0,1453.3333333333333,95.0,79.16666666666666,C
411.0,GAMMA,18.0,15.0,15.0,20.0,15.0,17.0,1488.6666666666667,100.0,83.33333333333334,B
412.0,GAMMA,19.0,5.0,11.0,20.0,18.0,14.0,1404.0,87.0,72.5,C
413.0,GAMMA,8.0,0.0,2.0,6.0,15.0,8.0,1086.0,39.0,32.5,F
414.0,GAMMA,14.0,7.0,12.0,17.0,18.0,14.0,1374.6666666666667,82.0,68.33333333333333,D
415.0,GAMMA,0.0,0.0,0.0,0.0,0.0,0.0,830.0,0.0,0.0,F
416.0,GAMMA,16.0,14.0,11.0,18.0,15.0,5.0,1358.6666666666667,79.0,65.83333333333333,D
417.0,GAMMA,19.0,10.0,17.0,17.0,18.0,12.0,1454.0,93.0,77.5,C
